date/time,open,high,low,close,volume
2022-05-31 16:00:00,193.5890,193.5980,193.5890,193.5960,12524
2022-05-31 15:00:00,193.0030,195.0580,192.8340,193.5860,79989
2022-05-31 14:00:00,194.6120,194.8290,192.8540,193.1340,19017
2022-05-31 13:00:00,194.6020,195.0770,193.6740,194.7870,15049
2022-05-31 12:00:00,194.8250,195.3160,194.1050,194.6480,10050
2022-05-31 11:00:00,194.0410,195.0380,192.6460,194.8570,72333
2022-05-31 10:00:00,193.2020,195.0580,191.8550,194.0720,65163
2022-05-31 09:00:00,192.8250,194.8790,192.8250,193.0990,45666
2022-05-31 08:00:00,193.0830,193.2110,193.0830,193.2080,923
2022-05-31 06:00:00,195.1580,195.1670,195.1580,195.1650,148
2022-05-31 05:00:00,196.3690,196.3780,195.1680,195.1750,200
2022-05-31 04:00:00,196.4190,198.4540,196.4190,198.4510,200
2022-05-27 16:00:00,200.4300,200.4390,200.4300,200.4370,6366
2022-05-27 15:00:00,199.4570,200.4490,198.9610,200.4470,67359
2022-05-27 14:00:00,199.3750,199.6350,199.2040,199.3050,8743
2022-05-27 13:00:00,199.4570,199.5560,199.0500,199.3150,6875
2022-05-27 12:00:00,199.7850,200.0120,199.0400,199.5830,10625
2022-05-27 11:00:00,198.7320,199.7940,198.3550,199.7820,36068
2022-05-27 10:00:00,200.1130,200.2410,198.6030,198.6750,25420
2022-05-27 09:00:00,199.0300,200.1810,198.9810,200.1290,23066
2022-05-27 08:00:00,197.9680,197.9770,197.9680,197.9750,100
2022-05-26 19:00:00,195.2870,195.2960,195.2870,195.2940,100
2022-05-26 16:00:00,195.6250,195.6330,195.6250,195.6310,19364
2022-05-26 15:00:00,195.7740,195.8770,195.0640,195.6910,79021
2022-05-26 14:00:00,195.8530,196.0310,195.1880,195.9890,19180
2022-05-26 13:00:00,196.3790,196.4180,195.4860,195.9390,13384
2022-05-26 12:00:00,195.9970,196.7460,195.3370,196.0480,39905
2022-05-26 11:00:00,195.2270,196.4380,195.0980,196.1140,41487
2022-05-26 10:00:00,193.0830,195.2660,192.9440,195.2640,69032
2022-05-26 09:00:00,190.7590,193.1140,190.7590,193.0300,23352
2022-05-26 08:00:00,191.0570,191.0660,191.0570,191.0640,120
2022-05-26 07:00:00,190.1640,190.1720,190.1640,190.1700,156
2022-05-25 16:00:00,189.6870,189.6960,189.6870,189.6930,8080
2022-05-25 15:00:00,190.2230,191.2790,189.3790,189.7330,53627
2022-05-25 14:00:00,188.3960,190.2620,187.3040,190.2100,30573
2022-05-25 13:00:00,187.8900,188.3750,187.4730,188.2980,10522
2022-05-25 12:00:00,188.7040,188.7130,187.4330,188.1840,9231
2022-05-25 11:00:00,189.3990,189.8740,188.5250,188.5320,19178
2022-05-25 10:00:00,187.0560,189.5860,186.9860,189.3960,23050
2022-05-25 09:00:00,187.0060,188.1470,186.6880,186.8340,17250
2022-05-25 05:00:00,186.6190,186.6270,186.6190,186.6250,100
2022-05-24 16:00:00,189.1710,189.1790,189.1710,189.1770,10703
2022-05-24 15:00:00,187.4680,189.8450,187.4680,189.0180,64535
2022-05-24 14:00:00,188.2270,188.6530,187.2790,187.4390,14904
2022-05-24 13:00:00,187.7610,188.2460,187.2740,187.8660,14514
2022-05-24 12:00:00,188.3370,189.2290,187.8300,188.0000,8105
2022-05-24 11:00:00,188.2570,188.9810,187.7440,188.3530,31355
2022-05-24 10:00:00,189.3290,189.3380,187.6610,188.3230,34848
2022-05-24 09:00:00,189.8060,190.1130,188.2570,189.3260,37009
2022-05-24 08:00:00,190.3320,190.3510,189.4490,190.1700,1093
2022-05-24 07:00:00,190.4610,190.4700,190.4020,190.4080,400
2022-05-24 05:00:00,189.1610,189.1690,188.9120,189.1470,440
2022-05-24 04:00:00,188.6250,188.9010,188.1080,188.2040,758
2022-05-23 16:00:00,188.3170,188.3250,188.3170,188.3230,10501
2022-05-23 15:00:00,188.3700,188.5540,187.8100,188.1250,57565
2022-05-23 14:00:00,189.1310,189.3130,188.1580,188.3630,19340
2022-05-23 13:00:00,188.8730,189.3080,187.7810,188.9780,19141
2022-05-23 12:00:00,188.6640,189.4970,188.5060,188.7500,18105
2022-05-23 11:00:00,187.3730,189.1490,187.2940,188.7100,40766
2022-05-23 10:00:00,186.3510,187.9980,185.6370,187.4890,47981
2022-05-23 09:00:00,187.4230,188.1470,186.3510,186.8930,32348
2022-05-23 08:00:00,187.3040,188.0270,187.3040,188.0250,5049
2022-05-23 05:00:00,186.6590,186.6670,186.6590,186.6650,100
2022-05-20 16:00:00,188.1380,188.1470,188.1380,188.1440,13441
2022-05-20 15:00:00,185.3280,188.1960,184.8560,188.1540,88388
2022-05-20 14:00:00,184.8460,185.9070,184.0570,185.3620,24594
2022-05-20 13:00:00,184.8420,185.1330,183.3220,184.9970,47115
2022-05-20 12:00:00,186.9660,186.9750,184.3950,184.8480,33470
2022-05-20 11:00:00,187.9490,189.0400,186.9270,186.9330,52344
2022-05-20 10:00:00,190.0740,190.0830,187.9490,187.9560,42629
2022-05-20 09:00:00,191.2950,192.1380,189.8660,190.2300,67513
2022-05-20 08:00:00,194.0360,194.0450,193.0230,193.2080,2858
2022-05-20 06:00:00,192.7250,193.6870,192.7250,193.6850,453
2022-05-20 05:00:00,193.0230,193.0320,193.0230,193.0300,134
2022-05-19 16:00:00,187.1050,187.1140,187.1050,187.1120,21612
2022-05-19 15:00:00,188.1680,188.6830,186.8470,186.9630,92717
2022-05-19 14:00:00,187.7310,188.4640,187.3240,187.8470,39232
2022-05-19 13:00:00,187.0060,187.9280,185.7550,187.9260,17616
2022-05-19 12:00:00,187.2840,187.7890,186.3210,186.8440,24145
2022-05-19 11:00:00,185.9630,187.7490,185.3580,187.1510,49467
2022-05-19 10:00:00,182.8950,186.4780,182.8360,185.7610,71560
2022-05-19 09:00:00,182.3590,183.6980,181.8830,182.9020,53925
2022-05-19 08:00:00,181.8230,182.2480,181.8230,182.2460,200
2022-05-19 06:00:00,178.8440,178.8520,178.8440,178.8500,166
2022-05-19 05:00:00,179.9760,179.9840,179.3210,179.3270,531
2022-05-18 16:00:00,181.8730,181.8810,181.8730,181.8790,13769
2022-05-18 15:00:00,180.9990,182.0500,180.3830,181.8690,250030
2022-05-18 14:00:00,181.3560,181.9900,180.7110,180.7770,26236
2022-05-18 13:00:00,183.1630,183.3900,180.9590,181.1140,61432
2022-05-18 12:00:00,183.4810,183.4990,181.8930,183.3140,72431
2022-05-18 11:00:00,185.7550,185.7630,183.4910,183.8250,75626
2022-05-18 10:00:00,186.7080,187.3720,185.5460,185.6720,107414
2022-05-18 09:00:00,186.6780,187.6700,186.4100,186.5950,22432
2022-05-18 08:00:00,187.0060,187.0150,186.6490,186.6550,559
2022-05-18 04:00:00,189.6570,189.6660,189.6570,189.6640,100
2022-05-17 16:00:00,191.0080,191.0160,191.0080,191.0140,21145
